beruf;Titel;RefNr;arbeitgeber;Vom;modifikationsTimestamp;Eintritt ab;kundennummerHash;PLZ;Ort;arbeitsort.strasse;arbeitsort.region;Land;arbeitsort.koordinaten.lat;arbeitsort.koordinaten.lon;Umkreis (km);externeUrl;arbeitsort.adresszusatz;arbeitsort.ortsteil
Data Engineer;Data Analyst (m/w/d);13660-43672647-924-S;Riverty;2025-09-25;2025-09-25T00:00:00;2026-02-01;6FvND7ls28ibdlun07uriqhOFQK07pSDpNSNabhYnZ8=;44369;Dortmund;null;Nordrhein-Westfalen;Deutschland;51.5343165;7.4082941;19;;;
EDV-Fachkraft;HR Analyst (w/m/d);12781-15699430-KAL-S;WILO SE;2025-09-16;2025-09-16T13:12:38.6;2025-09-16;;44263;Dortmund;null;Nordrhein-Westfalen;Deutschland;51.487561;7.4987586;16;https://www.kalaydo.de/jobs/15699430/?utm_id=ba&utm_source=bundesagentur&utm_medium=unpaid-partner&utm_campaign=000&campaign=ba;;
Kostenanalytiker/in;Pricing Analyst (w/m/d);12288-4479713810-S;Hellweg;2025-09-16;2025-09-19T07:34:07.595;2025-09-20;;44149;Dortmund;null;Nordrhein-Westfalen;Deutschland;51.4999624;7.3972453;21;https://www.persy.jobs/persy/l/job-gwcxp-b;;
Supply-Chain-Manager/in;Analyst Bestandsmanagement (m/w/d);15772-5iGLBAw2-S;BAUKING GmbH;2025-08-12;2025-08-12T14:48:39.31;2025-08-12;eBioHmFwbXhyiQsJD1eemg13dMuTVMD_TXfknhqEZbI=;44263;Dortmund;Phoenixseestraße 11;Nordrhein-Westfalen;Deutschland;51.48822075472247;7.510891549413671;15;;;
Fachinformatiker/in - Systemintegration;IT Analyst Digitalisierung & HR (m/w/d);12608-1299577-28452-1-S;REWE digital GmbH;2025-07-22;2025-09-12T07:36:40.505;2025-09-13;GZjytjsQi_ElRry4JQkVkOM_2tJ-rFWK7eetSqV_5fw=;44309;Dortmund;null;Nordrhein-Westfalen;Deutschland;51.5253009;7.553807;10;;;
Informatiker/in;Senior Test-Analyst:in im Consulting;10000-1202502780-S;viadee Unternehmensberatung AG;2025-05-14;2025-08-22T08:08:05.827;2025-08-22;ze09QsDO0k5ZqvEmGPIUJpRfuFEuQGzTmE_vInalH8k=;44227;Dortmund;Martin-Schmeißer-Weg 10;Nordrhein-Westfalen;Deutschland;51.4915453;7.403873;21;;;
Business-Analyst/in;Business Analyst (m/w/d) Vertriebstechnik - Textorganisation;13635-2eccad82_JB4919508-S;Continentale Versicherungsverbund;2025-09-18;2025-09-18T17:14:04.671;2025-09-22;;44269;Dortmund;null;Nordrhein-Westfalen;Deutschland;51.484653;7.5246796;14;https://www.jobexport.de/job/4919508.html?exp=81&cid=2eccad82-c71f-4f04-9106-7d9df4a455e4;;
Business-Analyst/in;IT Business Analyst – Business Applications (m/w/d);13635-e9c41658_JB4919348-S;Brillen Rottler GmbH & Co. KG;2025-09-18;2025-09-18T14:13:06.417;2025-09-22;;59757;Arnsberg, Westfalen;null;Nordrhein-Westfalen;Deutschland;51.4293754;7.9336535;25;https://www.jobexport.de/job/4919348.html?exp=81&cid=e9c41658-3b5d-49af-8586-a04435e7b482;;
Business-Analyst/in;Business Analyst (m/w/d) Vertriebstechnik - Low-Code & Legacy-Anwendungen;13635-cba3b91e_JB4919505-S;Continentale Versicherungsverbund;2025-09-18;2025-09-18T17:14:04.504;2025-09-22;;44269;Dortmund;null;Nordrhein-Westfalen;Deutschland;51.484653;7.5246796;14;https://www.jobexport.de/job/4919505.html?exp=81&cid=cba3b91e-451c-47bb-a510-e44333c19964;;
Informatiker/in;Senior Projektleiter:in Data & AI im Consulting;10001-1001447291-S;viadee Unternehmensberatung AG;2025-05-22;2025-08-22T08:08:18.157;2025-08-22;ze09QsDO0k5ZqvEmGPIUJpRfuFEuQGzTmE_vInalH8k=;44149;Dortmund;Sebrathweg 7;Nordrhein-Westfalen;Deutschland;51.4999624;7.3972452;21;;;
